Gene	psill	range	Protein.Class.simple	DSI	DPI	X..Of.Diseases	X..Of.SNPs	ADgenes
GLI2	0.48	17.6	null	0.467	0.7861	198	17	0
TUBB4A	0.65	27.5	cytoskeletal protein	0.672	0.321	26	28	0
EIF2B5	0.33	18.4	transferase	0.616	0.357	45	29	0
KANSL1	0.05	17.6	null	0.741	0.25	13	9	1
GLDC	0.97	29.5	oxidoreductase	0.616	0.3569	45	88	0
AR	0.02	2.2	transcription factor	0.358	0.857	585	69	0
STXBP1	0.44	14.4	transporter	0.565	0.3931	75	23	0
DNAAF1	0.24	17.4	extracellular matrix protein	0.758	0.2861	11	8	0
PMP22	0.6	28.3	cytoskeletal protein	0.479	0.714	176	25	0
COL1A2	2.07	35.4	null	0.455	0.6791	224	103	0
PLCB4	0.17	3.4	signaling molecule	0.596	0.536	55	8	0
FBN1	0.5	17.4	cell adhesion molecule	0.406	0.821	363	378	0
ABL1	0.02	0	transferase	0.465	0.786	201	16	0
MYBPC3	0.47	22.8	null	0.614	0.393	46	328	0
HNF1B	0.06	0.3	transcription factor	0.504	0.6431	137	36	0
GABRA1	0.25	3.2	transporter	0.573	0.4289	69	12	0
ABCA4	0.03	1.9	transporter	0.474	0.8571	184	308	0
KAT6B	0.05	12.8	transcription factor	0.496	0.7139	149	17	0
BRCA1	3.44	90.3	null	0.396	0.929	399	1987	0
NAGLU	2.79	37.9	null	0.568	0.5711	73	43	0
MED12	2.23	72.3	transcription factor	0.446	0.679	245	14	0
BRAF	1.72	23.7	transferase	0.322	0.8571	837	71	0
COL3A1	1.6	27.4	null	0.462	0.821	208	354	0
ACTG1	0.02	0.2	cytoskeletal protein	0.612	0.679	47	17	0
PALB2	0.12	22.2	null	0.604	0.5	51	110	0
ABCA12	0.38	5.5	transporter	0.573	0.5	69	12	0
GYS2	0.26	3.4	null	0.721	0.286	16	9	0
GLI3	0.33	11.1	null	0.45	0.75	234	40	0
ACADS	0	1.7	transferase	0.626	0.393	41	35	0
CDKN2A	0.05	0.8	enzyme modulator	0.317	0.9641	877	79	0
SMARCA4	0.1	2.8	nucleic acid binding	0.484	0.75	167	13	0
SPTA1	4.67	78.3	cytoskeletal protein	0.676	0.429	25	20	0
FASN	0.02	0.3	oxidoreductase	0.511	0.786	128	4	0
PRDM16	0.82	20.2	transcription factor	0.621	0.4999	43	3	0
APC	0.38	22.4	null	0.39	0.8571	427	118	0
APP	0.42	13.6	signaling molecule	0.415	0.857	333	60	1
RPGR	1.13	27.4	enzyme modulator	0.533	0.607	103	32	0
COL7A1	0.89	30	null	0.517	0.6071	120	47	0
MAP2K1	0.07	5.3	null	0.422	0.821	309	13	0
ARX	0.11	0.1	transcription factor	0.606	0.2861	50	39	0
CFH	1.82	50.3	null	0.444	0.8929	250	67	0
VHL	0.28	21	ligase	0.443	0.6791	251	140	0
VPS13B	0.29	15.9	null	0.684	0.5359	23	188	0
SYNE1	0.01	1.2	cytoskeletal protein	0.564	0.4999	76	13	0
TPM1	1.28	71.9	cytoskeletal protein	0.586	0.4999	61	46	0
TCOF1	0.15	21.4	null	0.546	0.5711	90	12	0
ABCC8	1.13	40	transporter	0.468	0.6791	197	119	0
PRPS1	0	0.3	transferase	0.535	0.643	101	21	0
ABCA1	1.18	28.4	transporter	0.413	0.9291	339	50	0
ABCC9	0.52	21.5	transporter	0.503	0.4639	139	15	0
CFTR	1.38	34.6	transporter	0.422	0.8569	308	459	0
ANO5	0.08	0.4	null	0.648	0.3211	33	42	0
MCPH1	0.08	1.6	nucleic acid binding	0.584	0.679	62	12	0
FLT4	0.82	11.9	null	0.492	0.7139	155	12	0
PNPLA6	1.41	33.1	hydrolase	0.511	0.7139	128	16	0
COL5A2	0.38	18.4	null	0.56	0.5709	79	0	0
NPHS1	2.32	43.4	cell junction protein	0.56	0.536	79	152	0
DNM1	0.85	24.1	cytoskeletal protein	0.596	0.3929	55	7	0
EPHA2	0.16	13.2	null	0.515	0.6791	123	6	0
SCN2A	0.8	28.9	transporter	0.558	0.357	80	31	0
AARS2	0.28	3	nucleic acid binding	0.698	0.214	20	8	0
MAP2K2	0.07	0.1	null	0.477	0.607	180	7	0
ELANE	0.83	20.6	protease	0.482	0.821	171	19	0
PDHA1	1.39	30.6	oxidoreductase	0.579	0.429	65	27	0
CACNA1H	0.45	28.8	transporter	0.714	0.321	17	15	0
TUBB3	0	0.4	cytoskeletal protein	0.545	0.679	91	16	0
ERBB2	1.22	36.5	null	0.352	0.9291	622	32	0
ADA	0.01	0.3	hydrolase	0.465	0.8571	201	42	0
SYNE2	0.14	26.9	cytoskeletal protein	0.657	0.464	30	2	0
KCNJ2	0.12	0.1	null	0.528	0.464	108	28	0
STK11	0.44	15.8	null	0.463	0.714	207	60	0
NBN	0.04	0.2	nucleic acid binding	0.452	0.821	230	62	0
CASR	1.45	33	transporter	0.435	0.679	273	85	0
GALT	0.17	15	transferase	0.566	0.536	74	232	0
GALC	1.31	37	null	0.579	0.4641	65	64	0
SLC52A3	1.37	31.4	receptor	0.698	0.214	20	29	0
RAI1	0.67	31.4	transcription factor	0.47	0.679	192	10	0
KCNJ11	6.06	124.2	null	0.498	0.6071	146	40	0
PKHD1	3.75	84.2	cytoskeletal protein	0.556	0.607	82	174	0
ACVRL1	0.3	13.5	transferase	0.515	0.643	123	25	0
TP63	0.44	21.6	transcription factor	0.387	0.821	439	38	0
FKRP	0.61	19.8	null	0.639	0.357	36	32	0
AGL	0.41	19.6	transferase	0.596	0.4999	55	73	0
BEST1	0.27	13	transporter	0.484	0.6071	167	101	0
RANBP2	0.06	9.7	enzyme modulator	0.668	0.4639	27	4	0
COL5A1	0.19	15.5	null	0.506	0.7139	134	23	0
PTEN	0	1.9	phosphatase	0.324	0.8571	818	166	0
DNM2	1.32	18.2	cytoskeletal protein	0.491	0.75	156	17	0
SMARCA2	0.21	6.1	nucleic acid binding	0.542	0.6431	94	36	0
SCN10A	0.88	46.9	transporter	0.626	0.4289	41	10	0
OCA2	0.11	0.2	transporter	0.546	0.7859	90	57	0
PDGFRA	0.39	12.5	null	0.44	0.7861	260	11	0
SCN5A	0.8	33.2	transporter	0.497	0.643	147	254	0
PHEX	0.02	3.4	protease	0.546	0.6431	90	17	0
HCN4	6.61	114.6	transporter	0.688	0.1431	22	8	0
TTR	0.53	21.6	transfer/carrier protein	0.455	0.929	223	57	0
CLPB	1.48	29.7	protease	0.734	0.4291	14	19	0
MUT	0.45	21.2	isomerase	0.55	0.643	87	109	0
GNAO1	0.03	0.1	enzyme modulator	0.576	0.6069	67	9	0
PCNT	0.05	6.7	enzyme modulator	0.492	0.679	155	24	0
UMOD	1.2	25.3	null	0.573	0.571	69	18	0
DNAH5	0.75	31.2	cytoskeletal protein	0.68	0.429	24	48	0
TGFBR1	0.04	10.5	transferase	0.463	0.786	206	23	0
GBA	0.66	21.3	null	0.446	0.7139	244	119	0
ATP1A3	0.17	7.5	transporter	0.552	0.393	85	48	0
HSPG2	0.03	0.9	extracellular matrix protein	0.434	0.821	275	8	0
SMC1A	0.02	0	nucleic acid binding	0.506	0.6431	135	31	0
EGFR	0.07	8.6	null	0.317	0.929	876	58	0
AFG3L2	0.29	6.7	null	0.586	0.393	61	14	0
WDR19	1.57	25.2	null	0.654	0.5001	31	17	0
MSH2	1.56	33.7	nucleic acid binding	0.418	0.857	323	517	0
PYGM	0.05	0.7	transferase	0.636	0.3929	37	52	0
PURA	0.01	0.1	transcription factor	0.621	0.3569	43	12	0
SLC6A5	1.79	47.1	transporter	0.654	0.4639	31	12	0
TRDN	0.58	27.2	null	0.676	0.4291	25	3	0
LOXHD1	0.29	23.9	signaling molecule	0.86	0.143	4	0	0
GJB2	1.66	38.6	cell junction protein	0.45	0.857	235	99	0
ATP1A2	0.28	14.1	transporter	0.573	0.321	69	20	0
APOB	0.11	1.9	null	0.434	0.75	274	42	0
G6PC	0.38	14.4	phosphatase	0.538	0.5	98	37	0
CTNNB1	0.17	6.1	cell adhesion molecule	0.408	0.8209	354	20	1
RAD51D	0.82	51.5	nucleic acid binding	0.693	0.429	21	6	0
ACTA1	0	0.3	cytoskeletal protein	0.507	0.6789	133	25	0
SLC2A1	0.67	16.4	null	0.429	0.786	290	46	0
SPATA5	0.73	25.2	null	0.804	0.2861	7	11	0
EP300	0.09	1.9	transcription factor	0.426	0.857	297	5	0
WHRN	0.02	0.2	cytoskeletal protein	0.616	0.3569	45	4	0
COL2A1	1.54	33.9	null	0.394	0.7499	410	79	0
MYH9	1.12	22.9	cell junction protein	0.507	0.75	133	28	0
CBS	0.41	15.8	isomerase	0.456	0.821	220	65	0
POLG	1.11	44.1	transferase	0.434	0.7861	276	54	0
BRIP1	0.12	11.5	nucleic acid binding	0.608	0.5361	49	53	0
PDGFRB	0.38	5.4	null	0.42	0.714	317	12	0
POLE	0.35	17.9	null	0.598	0.536	54	2	0
RP1L1	0.44	40.6	receptor	0.804	0.0711	7	4	0
SCN9A	1.09	45.9	transporter	0.506	0.607	135	37	0
DES	1.26	27.1	cytoskeletal protein	0.473	0.821	186	46	0
TUBB2B	0.11	5	cytoskeletal protein	0.703	0.3211	19	4	0
EHMT1	0.68	38.7	transferase	0.61	0.607	48	22	0
WFS1	2.2	57.8	null	0.506	0.6431	134	58	0
GDAP1	0.1	8.8	oxidoreductase	0.557	0.3209	81	20	0
TRPV3	1.7	33.8	transporter	0.709	0.25	18	5	0
DYRK1A	0.44	18.3	transferase	0.568	0.4999	73	10	0
COL4A5	1.31	26.5	null	0.545	0.679	91	500	0
TGFBR2	1.01	27.7	transferase	0.417	0.8571	324	48	0
LPL	0.17	29	storage protein	0.452	0.821	230	62	0
SLC12A3	1.73	39.2	null	0.538	0.7139	98	94	0
TWNK	8.15	174.1	nucleic acid binding	0.6	0.5	53	26	0
KCNT1	1.44	52.1	null	0.721	0.1789	16	12	0
GFAP	0.55	16	cytoskeletal protein	0.464	0.786	205	91	0
PRKAG2	0.13	1.4	enzyme modulator	0.572	0.5361	70	26	0
MTOR	0.42	20.6	transferase	0.399	0.8569	389	14	0
HRAS	0.06	0.1	enzyme modulator	0.378	0.8569	480	20	0
DSG2	0.37	26.7	cell adhesion molecule	0.633	0.464	38	30	0
CHD7	0.8	26.5	nucleic acid binding	0.456	0.7501	220	106	0
GJB1	0.01	7.1	cell junction protein	0.503	0.679	138	49	0
COL4A4	1.22	29.2	null	0.604	0.4291	51	16	0
FANCA	0.34	20.4	null	0.527	0.679	109	43	0
F5	2.81	52	cell adhesion molecule	0.401	0.821	383	19	0
BMPR2	0.83	19.3	transferase	0.537	0.6431	99	28	0
MUSK	1.46	40.9	null	0.536	0.571	100	10	0
ACTB	0	0.1	cytoskeletal protein	0.436	0.893	268	17	0
PCDH19	0.08	1.5	cell adhesion molecule	0.684	0.1789	23	17	0
MUTYH	0.12	0.1	nucleic acid binding	0.536	0.7139	100	73	0
MLH1	1.16	34.4	nucleic acid binding	0.408	0.7859	356	562	0
OTC	0.21	16.7	transferase	0.568	0.6791	73	120	0
LDB3	0.03	0.4	transcription factor	0.651	0.179	32	10	0
AHI1	1.64	27.4	enzyme modulator	0.528	0.714	108	49	0
FGFR2	0.03	0.6	null	0.352	0.8569	618	58	0
RELN	1.12	25.4	null	0.546	0.6791	90	17	0
NOTCH1	0.04	0.1	defense/immunity protein	0.407	0.7499	360	31	0
ERCC6	0.73	33.2	nucleic acid binding	0.436	0.7861	270	43	0
ELN	0.54	20.1	null	0.399	0.75	390	35	0
BCKDHA	1.73	28.1	oxidoreductase	0.645	0.2501	34	35	0
COL6A2	1.59	42.8	null	0.536	0.4641	100	53	0
CHEK2	0.06	0.2	null	0.479	0.7141	175	71	0
IDUA	3.74	77.1	hydrolase	0.466	0.7139	200	57	0
PIEZO2	2.44	36.8	null	0.804	0.214	7	13	0
COL6A3	0.64	24.8	transporter	0.523	0.5361	114	39	0
ENG	0.5	20.3	receptor	0.447	0.786	242	18	0
SLC4A1	0.68	29.1	transporter	0.553	0.6071	84	30	0
PTCH1	0.07	0.5	receptor	0.404	0.75	371	42	0
CHD2	0.06	11.1	nucleic acid binding	0.581	0.321	64	24	0
GARS	0.16	2	ligase	0.621	0.393	43	10	0
GNE	0.04	0.2	transcription factor	0.543	0.464	93	54	0
COL4A1	1.35	33.9	null	0.501	0.6789	142	30	0
LAMC3	0	1.9	extracellular matrix protein	0.758	0.214	11	2	0
NF1	1.19	35.2	enzyme modulator	0.434	0.786	274	209	0
POLD1	0.23	24.8	null	0.51	0.714	129	5	0
FGFR3	0.8	16	null	0.367	0.821	536	39	0
TYR	0.05	16.9	null	0.481	0.821	173	91	0
SOD1	0	4.4	oxidoreductase	0.398	0.964	393	45	0
GALNS	1.65	26.5	hydrolase	0.538	0.75	98	65	0
OAT	0.05	0.2	transferase	0.612	0.5	47	63	0
ALK	0.9	16.7	null	0.443	0.75	252	18	0
SH3TC2	0.1	2.1	null	0.714	0.1789	17	24	0
SLC2A10	0.61	18.4	null	0.654	0.5361	31	20	0
SCN8A	0.92	24.5	transporter	0.525	0.6431	111	40	0
ATM	0.44	23.6	transferase	0.375	0.893	493	276	0
GLRA1	1.11	26.5	transporter	0.636	0.25	37	25	0
OTOG	0.53	41	cell adhesion molecule	0.889	-1e-04	3	2	0
TMEM67	1.65	43.6	null	0.657	0.393	30	77	0
FGFR1	0.35	14.8	null	0.372	0.8209	508	69	0
EVC	0.37	17.8	null	0.541	0.571	95	9	0
COL4A3	1.75	38.2	null	0.543	0.643	93	21	0
NLRP12	0.05	15.8	transcription factor	0.684	0.429	23	2	0
COL18A1	0.34	49.8	null	0.488	0.714	160	9	0
BCKDHB	0.05	8.9	transferase	0.619	0.5711	44	50	0
ALAS2	1.14	22.8	transferase	0.596	0.429	55	20	0
COL6A1	1.51	35.6	null	0.54	0.571	96	42	0
HMCN1	0.01	10.1	cell adhesion molecule	0.819	0.321	6	2	0
TNXB	2.31	31.7	signaling molecule	0.551	0.643	86	28	0
SLC6A1	0.5	22.4	transporter	0.628	0.2501	40	5	0
MSH6	0.14	15.9	nucleic acid binding	0.474	0.6069	185	224	0
PIEZO1	2.28	43.2	null	0.68	0.5709	24	12	0
EBP	1.23	33.7	isomerase	0.475	0.7501	183	39	0
AGXT	0.43	19.3	transferase	0.591	0.6069	58	165	0
FOXG1	0.07	0.4	transcription factor	0.495	0.536	150	33	0
COL4A2	0.42	24	null	0.589	0.607	59	6	0
GCDH	0.09	6.2	transferase	0.591	0.2501	58	70	0
DNAH1	0.95	21.8	cytoskeletal protein	0.889	0.179	3	1	0
NOTCH3	5.15	80.3	defense/immunity protein	0.43	0.7501	286	37	1
GLB1	1.51	28.6	hydrolase	0.414	0.893	334	58	0
TRPV4	1.56	26.7	transporter	0.548	0.536	89	51	0
PCSK9	1.36	29.2	null	0.573	0.4641	69	33	0
RIT1	0.76	14.9	enzyme modulator	0.541	0.5001	95	14	0
PMM2	0.05	8.7	isomerase	0.522	0.607	115	56	0
TMPRSS3	0.59	17.8	protease	0.676	0.393	25	19	0
SMPD1	1.26	22.2	hydrolase	0.509	0.786	131	73	0
OTOF	0.94	22.2	membrane traffic protein	0.688	0.2141	22	93	0
MLH3	0.08	0.1	nucleic acid binding	0.589	0.464	59	14	0
CRB1	0.03	1.1	null	0.556	0.464	82	55	0
SCN4A	2.56	47.7	transporter	0.54	0.429	96	45	0
ZNF469	1.8	45.5	null	0.741	0.25	13	6	0
FAT4	0.85	28.5	null	0.657	0.357	30	15	0
TMEM43	0.24	4.1	null	0.734	0.3571	14	6	0
GNAS	0.03	0.1	enzyme modulator	0.401	0.8211	381	21	0
CBL	0.1	1.9	ligase	0.507	0.6431	133	13	0
STAT3	0.81	32.9	transcription factor	0.355	0.893	601	39	0
KBTBD13	3.93	123.2	null	0.86	0.0709	4	2	0
ACTC1	0	0.3	cytoskeletal protein	0.636	0.393	37	17	0
FH	0.14	9.9	lyase	0.514	0.679	124	37	0
APOA1	1.06	20	null	0.443	0.857	251	11	1
SPG7	0.12	5	null	0.517	0.7141	121	18	0
RARS2	0.13	4.2	null	0.698	0.321	20	4	0
TBX5	0.87	18.1	transcription factor	0.562	0.5711	77	17	0
INS	0.03	0	null	0.443	0.8209	251	29	0
RPS6KA3	0.73	22.8	transfer/carrier protein	0.456	0.714	221	16	0
MED13L	0.39	7.5	null	0.714	0.357	17	5	0
CC2D2A	3.55	56	null	0.693	0.393	21	63	0
SALL1	0.42	27.2	transcription factor	0.544	0.679	92	6	0
IL2RG	0.51	15.7	defense/immunity protein	0.517	0.7861	120	22	0
MECP2	0.19	3.3	transferase	0.413	0.857	337	296	0
WNK4	1.5	38.6	transferase	0.714	0.3569	17	5	0
NALCN	0.81	21.5	transporter	0.693	0.2499	21	20	0
NOD2	1.41	30.2	transcription factor	0.42	0.8929	315	43	0
LRP4	2.22	42.6	extracellular matrix protein	0.566	0.4289	74	11	0
RB1	1.53	16	transcription factor	0.451	0.857	233	100	0
LRP5	1.22	31.5	extracellular matrix protein	0.463	0.786	207	56	0
ABCD1	1.3	23.2	transporter	0.546	0.75	90	53	0
SGSH	2.42	39.3	hydrolase	0.61	0.321	48	38	0
MTM1	0.93	10.4	phosphatase	0.543	0.5361	93	144	0
MYOM1	0.14	22.8	cell adhesion molecule	1	0.0709	1	0	0
GCH1	0.12	11.3	hydrolase	0.479	0.7141	175	20	0
LRPPRC	0.05	0.2	transporter	0.507	0.7499	133	8	0
PAH	0.03	6.9	null	0.514	0.571	124	303	0
PLEC	0.43	56.8	cytoskeletal protein	0.503	0.714	138	19	0
LAMA4	0.59	53.8	null	0.709	0.2859	18	2	0
HEXA	1.11	27.7	hydrolase	0.589	0.5709	59	78	0
ASS1	0.08	10.9	ligase	0.518	0.7501	119	54	0
CPT2	1.17	18.2	transferase	0.503	0.5709	139	49	0
TSHZ1	0.16	18.5	transcription factor	0.565	0.6791	75	3	0
SKI	0.18	1.8	null	0.483	0.7139	169	11	0
KMT2A	1.11	36.4	transferase	0.458	0.714	216	20	0
CEP290	0.05	11.3	null	0.612	0.464	47	62	0
HMBS	0.17	11.6	hydrolase	0.538	0.607	98	35	0
RUNX1	1.14	29	transcription factor	0.451	0.821	233	17	0
AIFM1	0.03	0.1	oxidoreductase	0.512	0.643	127	20	0
IRF6	1.28	29.1	transcription factor	0.534	0.643	102	23	0
DYNC2H1	1.88	40.3	cytoskeletal protein	0.709	0.4289	18	44	0
FANCI	0.33	19.7	null	0.645	0.429	34	7	0
OPA1	2.44	55.8	cytoskeletal protein	0.508	0.571	132	64	0
C5orf42	0.38	7.9	null	0.734	0.1791	14	51	0
DNAH11	0.11	20.5	cytoskeletal protein	0.709	0.357	18	25	0
HSD17B4	1.38	34.8	null	0.496	0.643	148	29	0
POMT1	2.34	40.4	null	0.504	0.4639	137	26	0
MYO7A	1.56	42.7	cell junction protein	0.573	0.393	69	134	0
MYH11	0.63	20.8	cell junction protein	0.542	0.5	94	10	0
CAV3	0.06	3.2	membrane traffic protein	0.55	0.607	87	28	0
CDH1	0.02	5.6	null	0.43	0.786	286	73	0
SMAD4	0.01	1.8	transcription factor	0.407	0.8209	360	101	0
RTTN	0.33	26.3	null	0.703	0.1791	19	7	0
SH3BP2	2.02	40.9	null	0.623	0.5	42	4	0
SRD5A2	0.08	7.7	oxidoreductase	0.552	0.5001	85	20	0
AKAP9	0.23	31.6	enzyme modulator	0.693	0.393	21	9	0
CYP11B1	0.85	23.5	null	0.53	0.5361	106	38	0
ALMS1	0.05	18	null	0.525	0.643	111	20	0
HOGA1	0.01	1.2	lyase	0.86	0.1429	4	29	0
GLA	0.32	13.7	null	0.515	0.607	123	171	0
ANK2	0.06	0.3	cytoskeletal protein	0.639	0.3931	36	11	0
ALPL	0.53	21.8	hydrolase	0.514	0.75	124	75	0
CLCN1	0.71	27.6	transporter	0.623	0.3571	42	52	1
TNNT2	0.36	19	cytoskeletal protein	0.612	0.2501	47	54	0
MYH3	0.74	32.2	cell junction protein	0.509	0.464	131	15	0
TTN	0.22	22.1	cell adhesion molecule	0.514	0.643	124	313	0
STAT1	0.8	20	transcription factor	0.417	0.893	325	29	0
TRPM1	1.41	59.5	transporter	0.664	0.3211	28	17	0
BAG3	0.09	0.2	null	0.524	0.75	112	15	0
KIF1A	0.34	17.1	cytoskeletal protein	0.501	0.571	142	16	0
TSC2	0.31	8.7	null	0.454	0.7861	225	142	0
KMT2D	0.3	19.1	transferase	0.478	0.75	177	128	0
SPAST	0.45	23	cytoskeletal protein	0.548	0.536	89	42	0
PC	0	1.1	ligase	0.54	0.75	96	14	0
MEN1	0.69	15.4	null	0.438	0.714	264	64	0
MYH7	0.01	0.8	cell junction protein	0.498	0.6069	146	260	0
RYR1	4.09	122	transporter	0.484	0.7859	168	207	0
F8	0.77	21.9	cell adhesion molecule	0.538	0.7501	98	237	0
SYNGAP1	0.08	1	enzyme modulator	0.636	0.286	37	18	0
NDP	0.46	12.2	null	0.544	0.5359	92	24	0
PRNP	2.1	26.9	null	0.433	0.929	278	36	0
SPG11	0.51	27.1	null	0.639	0.3931	36	95	0
PROC	0	0.1	defense/immunity protein	0.582	0.6429	63	39	0
MC4R	0.02	0.6	receptor	0.538	0.6789	98	49	0
MYH14	0.68	18.2	cell junction protein	0.676	0.571	25	10	0
LRP2	0.2	11	extracellular matrix protein	0.503	0.679	139	20	0
TPP1	1.35	23.5	protease	0.587	0.5	60	48	0
L1CAM	1.81	22.1	cell adhesion molecule	0.486	0.679	164	23	0
IVD	0.28	14.4	transferase	0.657	0.393	30	22	0
IGHMBP2	3.2	63.2	null	0.573	0.429	69	30	0
HNF4A	0.3	18.2	transcription factor	0.454	0.7499	226	41	0
GRIN2A	0.56	23	transporter	0.552	0.4639	85	20	0
FBXL4	0.66	20.9	null	0.586	0.2139	61	8	0
UBE3A	1.88	33.7	ligase	0.517	0.4639	121	114	0
KCNB1	1.1	25.2	null	0.693	0.2861	21	5	0
GJA1	0.38	18.4	cell junction protein	0.377	0.857	484	22	0
GCK	0	0.3	null	0.498	0.571	146	118	0
SLX4	0.03	2.7	null	0.768	0.25	10	3	0
LAMA2	0.48	19.6	extracellular matrix protein	0.531	0.6429	105	53	0
ITPR1	0.52	19.8	transporter	0.56	0.7141	79	14	0
NEB	0.02	0.1	null	0.582	0.429	63	27	0
BARD1	0.03	0.3	null	0.623	0.4291	42	26	0
AVPR2	1.43	24.7	receptor	0.575	0.429	68	32	0
COQ8A	0.68	21.7	null	0.79	0.071	8	22	0
F9	0.42	12	protease	0.491	0.7859	156	77	0
COL12A1	1.1	37.8	transporter	0.626	0.3211	41	3	0
FANCM	0.03	0.7	nucleic acid binding	0.768	0.2141	10	1	0
FRAS1	0.49	49.4	transporter	0.75	0.3211	12	14	0
PCDH15	0.49	21.8	cell adhesion molecule	0.68	0.2859	24	55	0
ADSL	0.04	6.3	lyase	0.55	0.429	87	20	0
ASPM	0.35	48.2	cytoskeletal protein	0.602	0.6791	52	120	0
MYH6	0.26	17.5	cell junction protein	0.602	0.6429	52	9	0
DYSF	2.56	47.1	membrane traffic protein	0.564	0.571	76	144	0
MBD5	0.09	10.3	null	0.688	0.429	22	0	0
TCF4	0.1	2.6	transcription factor	0.479	0.643	176	45	0
SOS1	2.64	44.7	enzyme modulator	0.475	0.7499	183	32	0
TSC1	0.06	0.1	null	0.366	0.8209	542	60	0
CDK5RAP2	0.02	1.4	cell junction protein	0.734	0.3211	14	3	1
ATL1	0.09	0	enzyme modulator	0.57	0.643	71	17	0
COL10A1	1.79	39	extracellular matrix protein	0.596	0.3571	55	16	0
HUWE1	1.28	45.1	ligase	0.626	0.5	41	5	0
PAX6	0	0.3	transcription factor	0.457	0.75	219	26	0
EZH2	0.02	0.1	transferase	0.401	0.821	381	20	0
RYR2	0.56	23.8	transporter	0.541	0.571	95	49	0
FARS2	1.08	22.8	ligase	0.626	0.3211	41	4	0
MUC5B	0.06	19	cell adhesion molecule	0.576	0.679	67	2	0
PLA2G6	0.28	14.1	enzyme modulator	0.439	0.8209	262	29	0
TYMP	1.15	35.1	transferase	0.488	0.679	160	16	0
TERT	3.11	76.8	nucleic acid binding	0.371	0.857	514	62	0
SMCHD1	3.09	47.7	null	0.612	0.5709	47	11	0
GAA	1.72	39.1	hydrolase	0.517	0.714	120	134	0
WNK1	0.06	3.8	transferase	0.47	0.7861	192	7	0
RTEL1	3.21	44	nucleic acid binding	0.466	0.7861	200	28	0
ADGRV1	0.18	21.9	transporter	0.672	0.3931	26	34	0
ANKRD11	0.31	20.6	null	0.551	0.429	86	11	0
DICER1	0.27	10.1	null	0.481	0.7861	173	92	0
PLP1	0	0.3	structural protein	0.515	0.6069	123	23	0
GRIN2B	0.12	0.9	transporter	0.539	0.464	97	38	0
HPRT1	0	0	transferase	0.488	0.8571	160	35	0
ZFYVE26	0	1.3	null	0.598	0.536	54	7	0
EYS	2.27	67.9	defense/immunity protein	0.819	0.1429	6	44	0
DNAH8	0.11	15.4	cytoskeletal protein	0.409	0.893	351	4	0
COMP	1.45	26	null	0.508	0.607	132	26	0
TTC21B	0.16	3.4	null	0.768	0.3211	10	13	0
SPTBN2	0.41	25.4	cytoskeletal protein	0.61	0.3211	48	4	0
RRM2B	1.1	18.7	oxidoreductase	0.538	0.607	98	17	0
PDE6B	0.89	22.9	hydrolase	0.591	0.393	58	23	0
F11	0.02	0.1	protease	0.626	0.393	41	96	0
LDLR	1.67	122	extracellular matrix protein	0.448	0.857	238	1107	0
RYR3	0.03	0.1	transporter	0.684	0.3931	23	2	0
